Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
MR Marsh (AUS),4,4,2,164,102*,82,153,107.18,1,0,0,15,2,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,4,4,162,67*,-,197,82.23,0,1,0,10,2,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
SS Iyer (INDIA),3,3,0,162,88,54,160,101.25,0,2,0,18,3,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,161,87,32.2,167,96.4,0,2,0,19,2,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
AJ Finch (AUS),5,5,0,161,100,32.2,170,94.7,1,0,1,11,6,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
S Dhawan (INDIA),3,3,0,158,75,52.66,171,92.39,0,2,0,20,0,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,0,156,70,31.2,214,72.89,0,1,0,14,1,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
MS Wade (AUS),5,5,1,155,76,38.75,186,83.33,0,1,0,6,1,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
MR Marsh (AUS),7,6,2,154,79*,38.5,190,81.05,0,1,0,14,0,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
MS Dhoni (INDIA),5,4,3,154,78*,154,215,71.62,0,2,0,7,2,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
RG Sharma (INDIA),3,3,1,154,137*,77,158,97.46,1,0,0,17,4,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
MP Stoinis (AUS),5,5,3,153,62*,76.5,175,87.42,0,1,0,12,6,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
V Kohli (INDIA),3,3,0,153,104,51,182,84.06,1,0,0,8,2,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
V Kohli (INDIA),6,6,2,152,44*,38,188,80.85,0,0,0,18,1,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,0,151,108,30.2,168,89.88,1,0,1,15,1,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
PSP Handscomb (AUS),3,3,0,151,73,50.33,146,103.42,0,2,0,10,2,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
MS Wade (AUS),5,4,1,148,100*,49.33,168,88.09,1,0,0,11,2,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
V Kohli (INDIA),3,3,0,148,60,49.33,178,83.14,0,1,0,14,1,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
TM Head (AUS),3,3,0,146,57,48.66,162,90.12,0,2,0,13,2,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
KD Karthik (INDIA),6,5,2,146,44,48.66,205,71.21,0,0,0,10,2,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
AJ Finch (AUS),7,7,0,145,81,20.71,176,82.38,0,1,1,14,3,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
AJ Finch (AUS),5,4,0,145,56,36.25,101,143.56,0,2,0,18,6,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
DA Warner (AUS),5,5,0,144,106,28.8,175,82.28,1,0,0,13,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
AM Rahane (INDIA),5,5,0,143,57,28.6,202,70.79,0,1,0,16,3,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
SPD Smith (AUS),5,5,0,142,63,28.4,182,78.02,0,2,0,14,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AM Rahane (INDIA),4,3,0,141,89,47,138,102.17,0,2,0,10,2,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
SE Marsh (AUS),3,3,0,140,71,46.66,171,81.87,0,2,0,11,0,15-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
AM Rahane (INDIA),6,5,1,140,79,35,182,76.92,0,1,0,9,2,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
TM Head (AUS),5,5,0,139,51,27.8,126,110.31,0,1,1,15,3,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
AJ Finch (AUS),3,3,1,138,70*,69,151,91.39,0,2,0,21,1,8-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
KM Jadhav (INDIA),5,5,1,138,67,34.5,159,86.79,0,1,0,15,2,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
MR Marsh (AUS),5,5,0,137,50,27.4,162,84.56,0,1,0,16,4,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
MR Marsh (AUS),5,4,1,134,64,44.66,115,116.52,0,1,0,10,4,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
TM Head (AUS),5,5,0,130,40,26,193,67.35,0,0,0,12,0,21-Aug-16,Australia
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
TM Head (AUS),4,4,0,130,96,32.5,163,79.75,0,1,0,18,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
AC Agar (AUS),5,5,0,130,46,26,144,90.27,0,0,1,16,1,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,,
AM Rahane (INDIA),6,5,1,129,44,32.25,191,67.53,0,0,0,14,0,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,,
SE Marsh (AUS),2,2,0,128,106,64,128,100,1,0,0,9,4,9-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
KM Jadhav (INDIA),3,3,1,126,105*,63,113,111.5,1,0,0,14,1,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,0,126,60,25.2,165,76.36,0,1,0,19,0,11-Oct-15,South Africa
"South Africa in India ODI Series, 2015/16",,,,,,,,,,,,,,,
DA Warner (AUS),3,3,0,126,98,42,104,121.15,0,1,0,13,4,3-Feb-16,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,0,123,70,24.6,158,77.84,0,1,0,11,5,16-Oct-16,India
"New Zealand in India ODI Series, 2016/17",,,,,,,,,,,,,,,
GJ Bailey (AUS),5,4,0,122,55,30.5,155,78.7,0,1,0,8,3,11-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
AT Carey (AUS),3,3,0,122,47,40.66,184,66.3,0,0,0,7,1,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
MS Dhoni (INDIA),3,3,0,121,69,40.33,159,76.1,0,1,0,9,1,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,,
STR Binny (INDIA),3,3,1,120,77,60,100,120,0,1,0,11,3,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
S Dhawan (INDIA),3,3,0,120,44,40,106,113.2,0,0,0,21,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,,
TM Head (AUS),5,5,0,119,42,23.8,148,80.4,0,0,0,10,1,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
TD Paine (AUS),4,4,2,117,34,58.5,141,82.97,0,0,0,8,1,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
HH Pandya (INDIA),3,3,2,115,56,115,89,129.21,0,1,0,9,4,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
GJ Bailey (AUS),5,5,0,114,74,22.8,140,81.42,0,1,0,10,3,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
MS Wade (AUS),5,5,1,114,52,28.5,116,98.27,0,1,0,12,3,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,,
UT Khawaja (AUS),3,3,0,114,59,38,155,73.54,0,1,0,11,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
