Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
MK Pandey (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,14-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
AM Rahane (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
AT Rayudu (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
RV Uthappa (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,
GJ Bailey (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
JA Burns (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
SPD Smith (AUS),1,-,-,-,-,-,-,-,-,-,-,-,27-Aug-15,Australia
"Australia in Ireland ODI Match, 2015",,,,,,,,,,,,,,
